Driver,LapNumber,LapTime,Compound,TyreLife,Circuit
VER,1.0,0 days 00:01:37.284000,SOFT,4.0,Bahrain Grand Prix
VER,2.0,0 days 00:01:36.296000,SOFT,5.0,Bahrain Grand Prix
VER,3.0,0 days 00:01:36.753000,SOFT,6.0,Bahrain Grand Prix
VER,4.0,0 days 00:01:36.647000,SOFT,7.0,Bahrain Grand Prix
VER,5.0,0 days 00:01:37.173000,SOFT,8.0,Bahrain Grand Prix
VER,6.0,0 days 00:01:37.092000,SOFT,9.0,Bahrain Grand Prix
VER,7.0,0 days 00:01:37.038000,SOFT,10.0,Bahrain Grand Prix
VER,8.0,0 days 00:01:37.024000,SOFT,11.0,Bahrain Grand Prix
VER,9.0,0 days 00:01:37.229000,SOFT,12.0,Bahrain Grand Prix
VER,10.0,0 days 00:01:36.960000,SOFT,13.0,Bahrain Grand Prix
VER,11.0,0 days 00:01:37.085000,SOFT,14.0,Bahrain Grand Prix
VER,12.0,0 days 00:01:37.045000,SOFT,15.0,Bahrain Grand Prix
VER,13.0,0 days 00:01:37.030000,SOFT,16.0,Bahrain Grand Prix
VER,14.0,0 days 00:01:37.028000,SOFT,17.0,Bahrain Grand Prix
VER,15.0,0 days 00:01:37.011000,SOFT,18.0,Bahrain Grand Prix
VER,16.0,0 days 00:01:37.168000,SOFT,19.0,Bahrain Grand Prix
VER,17.0,0 days 00:01:39.896000,SOFT,20.0,Bahrain Grand Prix
VER,19.0,0 days 00:01:35.283000,HARD,2.0,Bahrain Grand Prix
VER,20.0,0 days 00:01:35.160000,HARD,3.0,Bahrain Grand Prix
VER,21.0,0 days 00:01:35.316000,HARD,4.0,Bahrain Grand Prix
VER,22.0,0 days 00:01:35.204000,HARD,5.0,Bahrain Grand Prix
VER,23.0,0 days 00:01:35.216000,HARD,6.0,Bahrain Grand Prix
VER,24.0,0 days 00:01:35.289000,HARD,7.0,Bahrain Grand Prix
VER,25.0,0 days 00:01:35.342000,HARD,8.0,Bahrain Grand Prix
VER,26.0,0 days 00:01:35.223000,HARD,9.0,Bahrain Grand Prix
VER,27.0,0 days 00:01:35.581000,HARD,10.0,Bahrain Grand Prix
VER,28.0,0 days 00:01:35.477000,HARD,11.0,Bahrain Grand Prix
VER,29.0,0 days 00:01:35.793000,HARD,12.0,Bahrain Grand Prix
VER,30.0,0 days 00:01:35.771000,HARD,13.0,Bahrain Grand Prix
VER,31.0,0 days 00:01:35.679000,HARD,14.0,Bahrain Grand Prix
VER,32.0,0 days 00:01:35.886000,HARD,15.0,Bahrain Grand Prix
VER,33.0,0 days 00:01:35.863000,HARD,16.0,Bahrain Grand Prix
VER,34.0,0 days 00:01:36.133000,HARD,17.0,Bahrain Grand Prix
VER,35.0,0 days 00:01:36.018000,HARD,18.0,Bahrain Grand Prix
VER,36.0,0 days 00:01:36.205000,HARD,19.0,Bahrain Grand Prix
VER,37.0,0 days 00:01:39.234000,HARD,20.0,Bahrain Grand Prix
VER,39.0,0 days 00:01:32.608000,SOFT,2.0,Bahrain Grand Prix
VER,40.0,0 days 00:01:36.589000,SOFT,3.0,Bahrain Grand Prix
VER,41.0,0 days 00:01:35.290000,SOFT,4.0,Bahrain Grand Prix
VER,42.0,0 days 00:01:34.667000,SOFT,5.0,Bahrain Grand Prix
VER,43.0,0 days 00:01:34.151000,SOFT,6.0,Bahrain Grand Prix
VER,44.0,0 days 00:01:34.531000,SOFT,7.0,Bahrain Grand Prix
VER,45.0,0 days 00:01:34.249000,SOFT,8.0,Bahrain Grand Prix
VER,46.0,0 days 00:01:34.193000,SOFT,9.0,Bahrain Grand Prix
VER,47.0,0 days 00:01:34.239000,SOFT,10.0,Bahrain Grand Prix
VER,48.0,0 days 00:01:34.350000,SOFT,11.0,Bahrain Grand Prix
VER,49.0,0 days 00:01:34.403000,SOFT,12.0,Bahrain Grand Prix
VER,50.0,0 days 00:01:34.783000,SOFT,13.0,Bahrain Grand Prix
VER,51.0,0 days 00:01:34.340000,SOFT,14.0,Bahrain Grand Prix
VER,52.0,0 days 00:01:34.906000,SOFT,15.0,Bahrain Grand Prix
VER,53.0,0 days 00:01:35.600000,SOFT,16.0,Bahrain Grand Prix
VER,54.0,0 days 00:01:35.334000,SOFT,17.0,Bahrain Grand Prix
VER,55.0,0 days 00:01:35.184000,SOFT,18.0,Bahrain Grand Prix
VER,56.0,0 days 00:01:34.671000,SOFT,19.0,Bahrain Grand Prix
VER,57.0,0 days 00:01:34.923000,SOFT,20.0,Bahrain Grand Prix
PER,1.0,0 days 00:01:40.053000,SOFT,4.0,Bahrain Grand Prix
PER,2.0,0 days 00:01:36.541000,SOFT,5.0,Bahrain Grand Prix
PER,3.0,0 days 00:01:37.297000,SOFT,6.0,Bahrain Grand Prix
PER,4.0,0 days 00:01:37.722000,SOFT,7.0,Bahrain Grand Prix
PER,5.0,0 days 00:01:38.044000,SOFT,8.0,Bahrain Grand Prix
PER,6.0,0 days 00:01:37.823000,SOFT,9.0,Bahrain Grand Prix
PER,7.0,0 days 00:01:37.821000,SOFT,10.0,Bahrain Grand Prix
PER,8.0,0 days 00:01:37.838000,SOFT,11.0,Bahrain Grand Prix
PER,9.0,0 days 00:01:37.596000,SOFT,12.0,Bahrain Grand Prix
PER,10.0,0 days 00:01:37.630000,SOFT,13.0,Bahrain Grand Prix
PER,11.0,0 days 00:01:37.836000,SOFT,14.0,Bahrain Grand Prix
PER,12.0,0 days 00:01:40.277000,SOFT,15.0,Bahrain Grand Prix
PER,14.0,0 days 00:01:35.606000,HARD,2.0,Bahrain Grand Prix
PER,15.0,0 days 00:01:36.815000,HARD,3.0,Bahrain Grand Prix
PER,16.0,0 days 00:01:35.783000,HARD,4.0,Bahrain Grand Prix
PER,17.0,0 days 00:01:36.454000,HARD,5.0,Bahrain Grand Prix
PER,18.0,0 days 00:01:36.311000,HARD,6.0,Bahrain Grand Prix
PER,19.0,0 days 00:01:36.038000,HARD,7.0,Bahrain Grand Prix
PER,20.0,0 days 00:01:36.278000,HARD,8.0,Bahrain Grand Prix
PER,21.0,0 days 00:01:36.165000,HARD,9.0,Bahrain Grand Prix
PER,22.0,0 days 00:01:36.037000,HARD,10.0,Bahrain Grand Prix
PER,23.0,0 days 00:01:36.249000,HARD,11.0,Bahrain Grand Prix
PER,24.0,0 days 00:01:36.211000,HARD,12.0,Bahrain Grand Prix
PER,25.0,0 days 00:01:36.344000,HARD,13.0,Bahrain Grand Prix
PER,26.0,0 days 00:01:36.347000,HARD,14.0,Bahrain Grand Prix
PER,27.0,0 days 00:01:36.233000,HARD,15.0,Bahrain Grand Prix
PER,28.0,0 days 00:01:36.226000,HARD,16.0,Bahrain Grand Prix
PER,29.0,0 days 00:01:36.437000,HARD,17.0,Bahrain Grand Prix
PER,30.0,0 days 00:01:36.313000,HARD,18.0,Bahrain Grand Prix
PER,31.0,0 days 00:01:36.339000,HARD,19.0,Bahrain Grand Prix
PER,32.0,0 days 00:01:36.276000,HARD,20.0,Bahrain Grand Prix
PER,33.0,0 days 00:01:36.564000,HARD,21.0,Bahrain Grand Prix
PER,34.0,0 days 00:01:36.378000,HARD,22.0,Bahrain Grand Prix
PER,35.0,0 days 00:01:36.776000,HARD,23.0,Bahrain Grand Prix
PER,36.0,0 days 00:01:39.365000,HARD,24.0,Bahrain Grand Prix
PER,38.0,0 days 00:01:34.804000,SOFT,2.0,Bahrain Grand Prix
PER,39.0,0 days 00:01:34.607000,SOFT,3.0,Bahrain Grand Prix
PER,40.0,0 days 00:01:34.364000,SOFT,4.0,Bahrain Grand Prix
PER,41.0,0 days 00:01:34.400000,SOFT,5.0,Bahrain Grand Prix
PER,42.0,0 days 00:01:34.525000,SOFT,6.0,Bahrain Grand Prix
PER,43.0,0 days 00:01:34.797000,SOFT,7.0,Bahrain Grand Prix
PER,44.0,0 days 00:01:34.799000,SOFT,8.0,Bahrain Grand Prix
PER,45.0,0 days 00:01:34.592000,SOFT,9.0,Bahrain Grand Prix
PER,46.0,0 days 00:01:34.844000,SOFT,10.0,Bahrain Grand Prix
PER,47.0,0 days 00:01:34.730000,SOFT,11.0,Bahrain Grand Prix
PER,48.0,0 days 00:01:34.885000,SOFT,12.0,Bahrain Grand Prix
PER,49.0,0 days 00:01:34.966000,SOFT,13.0,Bahrain Grand Prix
PER,50.0,0 days 00:01:35.082000,SOFT,14.0,Bahrain Grand Prix
PER,51.0,0 days 00:01:34.940000,SOFT,15.0,Bahrain Grand Prix
PER,52.0,0 days 00:01:35.183000,SOFT,16.0,Bahrain Grand Prix
PER,53.0,0 days 00:01:35.842000,SOFT,17.0,Bahrain Grand Prix
PER,54.0,0 days 00:01:35.459000,SOFT,18.0,Bahrain Grand Prix
PER,55.0,0 days 00:01:35.611000,SOFT,19.0,Bahrain Grand Prix
PER,56.0,0 days 00:01:35.568000,SOFT,20.0,Bahrain Grand Prix
PER,57.0,0 days 00:01:35.746000,SOFT,21.0,Bahrain Grand Prix
SAI,1.0,0 days 00:01:40.620000,SOFT,4.0,Bahrain Grand Prix
SAI,2.0,0 days 00:01:37.236000,SOFT,5.0,Bahrain Grand Prix
SAI,3.0,0 days 00:01:37.080000,SOFT,6.0,Bahrain Grand Prix
SAI,4.0,0 days 00:01:37.264000,SOFT,7.0,Bahrain Grand Prix
SAI,5.0,0 days 00:01:38.032000,SOFT,8.0,Bahrain Grand Prix
SAI,6.0,0 days 00:01:37.741000,SOFT,9.0,Bahrain Grand Prix
SAI,7.0,0 days 00:01:38.260000,SOFT,10.0,Bahrain Grand Prix
SAI,8.0,0 days 00:01:38.183000,SOFT,11.0,Bahrain Grand Prix
SAI,9.0,0 days 00:01:38.030000,SOFT,12.0,Bahrain Grand Prix
SAI,10.0,0 days 00:01:37.608000,SOFT,13.0,Bahrain Grand Prix
SAI,11.0,0 days 00:01:37.656000,SOFT,14.0,Bahrain Grand Prix
SAI,12.0,0 days 00:01:37.650000,SOFT,15.0,Bahrain Grand Prix
SAI,13.0,0 days 00:01:37.243000,SOFT,16.0,Bahrain Grand Prix
SAI,14.0,0 days 00:01:39.753000,SOFT,17.0,Bahrain Grand Prix
SAI,16.0,0 days 00:01:36.376000,HARD,2.0,Bahrain Grand Prix
SAI,17.0,0 days 00:01:35.507000,HARD,3.0,Bahrain Grand Prix
SAI,18.0,0 days 00:01:36.088000,HARD,4.0,Bahrain Grand Prix
SAI,19.0,0 days 00:01:36.236000,HARD,5.0,Bahrain Grand Prix
SAI,20.0,0 days 00:01:36.034000,HARD,6.0,Bahrain Grand Prix
SAI,21.0,0 days 00:01:36.104000,HARD,7.0,Bahrain Grand Prix
SAI,22.0,0 days 00:01:36.008000,HARD,8.0,Bahrain Grand Prix
SAI,23.0,0 days 00:01:36.149000,HARD,9.0,Bahrain Grand Prix
SAI,24.0,0 days 00:01:36.200000,HARD,10.0,Bahrain Grand Prix
SAI,25.0,0 days 00:01:36.220000,HARD,11.0,Bahrain Grand Prix
SAI,26.0,0 days 00:01:36.221000,HARD,12.0,Bahrain Grand Prix
SAI,27.0,0 days 00:01:36.272000,HARD,13.0,Bahrain Grand Prix
SAI,28.0,0 days 00:01:36.534000,HARD,14.0,Bahrain Grand Prix
SAI,29.0,0 days 00:01:36.600000,HARD,15.0,Bahrain Grand Prix
SAI,30.0,0 days 00:01:36.337000,HARD,16.0,Bahrain Grand Prix
SAI,31.0,0 days 00:01:36.537000,HARD,17.0,Bahrain Grand Prix
SAI,32.0,0 days 00:01:36.762000,HARD,18.0,Bahrain Grand Prix
SAI,33.0,0 days 00:01:36.556000,HARD,19.0,Bahrain Grand Prix
SAI,34.0,0 days 00:01:36.551000,HARD,20.0,Bahrain Grand Prix
SAI,35.0,0 days 00:01:39.274000,HARD,21.0,Bahrain Grand Prix
SAI,37.0,0 days 00:01:35.302000,HARD,2.0,Bahrain Grand Prix
SAI,38.0,0 days 00:01:35.100000,HARD,3.0,Bahrain Grand Prix
SAI,39.0,0 days 00:01:34.709000,HARD,4.0,Bahrain Grand Prix
SAI,40.0,0 days 00:01:34.739000,HARD,5.0,Bahrain Grand Prix
SAI,41.0,0 days 00:01:35.041000,HARD,6.0,Bahrain Grand Prix
SAI,42.0,0 days 00:01:34.861000,HARD,7.0,Bahrain Grand Prix
SAI,43.0,0 days 00:01:34.795000,HARD,8.0,Bahrain Grand Prix
SAI,44.0,0 days 00:01:34.507000,HARD,9.0,Bahrain Grand Prix
SAI,45.0,0 days 00:01:34.790000,HARD,10.0,Bahrain Grand Prix
SAI,46.0,0 days 00:01:34.853000,HARD,11.0,Bahrain Grand Prix
SAI,47.0,0 days 00:01:34.901000,HARD,12.0,Bahrain Grand Prix
SAI,48.0,0 days 00:01:34.981000,HARD,13.0,Bahrain Grand Prix
SAI,49.0,0 days 00:01:35.440000,HARD,14.0,Bahrain Grand Prix
SAI,50.0,0 days 00:01:35.142000,HARD,15.0,Bahrain Grand Prix
SAI,51.0,0 days 00:01:35.282000,HARD,16.0,Bahrain Grand Prix
SAI,52.0,0 days 00:01:35.083000,HARD,17.0,Bahrain Grand Prix
SAI,53.0,0 days 00:01:35.211000,HARD,18.0,Bahrain Grand Prix
SAI,54.0,0 days 00:01:35.309000,HARD,19.0,Bahrain Grand Prix
SAI,55.0,0 days 00:01:35.407000,HARD,20.0,Bahrain Grand Prix
SAI,56.0,0 days 00:01:35.305000,HARD,21.0,Bahrain Grand Prix
SAI,57.0,0 days 00:01:35.327000,HARD,22.0,Bahrain Grand Prix
LEC,1.0,0 days 00:01:38.271000,SOFT,4.0,Bahrain Grand Prix
LEC,2.0,0 days 00:01:36.862000,SOFT,5.0,Bahrain Grand Prix
LEC,3.0,0 days 00:01:38.062000,SOFT,6.0,Bahrain Grand Prix
LEC,4.0,0 days 00:01:37.752000,SOFT,7.0,Bahrain Grand Prix
LEC,5.0,0 days 00:01:38.131000,SOFT,8.0,Bahrain Grand Prix
LEC,6.0,0 days 00:01:37.782000,SOFT,9.0,Bahrain Grand Prix
LEC,7.0,0 days 00:01:38.957000,SOFT,10.0,Bahrain Grand Prix
LEC,8.0,0 days 00:01:38.136000,SOFT,11.0,Bahrain Grand Prix
LEC,9.0,0 days 00:01:37.844000,SOFT,12.0,Bahrain Grand Prix
LEC,10.0,0 days 00:01:37.884000,SOFT,13.0,Bahrain Grand Prix
LEC,11.0,0 days 00:01:41.737000,SOFT,14.0,Bahrain Grand Prix
LEC,13.0,0 days 00:01:36.432000,HARD,2.0,Bahrain Grand Prix
LEC,14.0,0 days 00:01:36.756000,HARD,3.0,Bahrain Grand Prix
LEC,15.0,0 days 00:01:36.813000,HARD,4.0,Bahrain Grand Prix
LEC,16.0,0 days 00:01:36.673000,HARD,5.0,Bahrain Grand Prix
LEC,17.0,0 days 00:01:37.302000,HARD,6.0,Bahrain Grand Prix
LEC,18.0,0 days 00:01:37.438000,HARD,7.0,Bahrain Grand Prix
LEC,19.0,0 days 00:01:36.821000,HARD,8.0,Bahrain Grand Prix
LEC,20.0,0 days 00:01:36.794000,HARD,9.0,Bahrain Grand Prix
LEC,21.0,0 days 00:01:36.977000,HARD,10.0,Bahrain Grand Prix
LEC,22.0,0 days 00:01:36.796000,HARD,11.0,Bahrain Grand Prix
LEC,23.0,0 days 00:01:36.987000,HARD,12.0,Bahrain Grand Prix
LEC,24.0,0 days 00:01:36.924000,HARD,13.0,Bahrain Grand Prix
LEC,25.0,0 days 00:01:36.760000,HARD,14.0,Bahrain Grand Prix
LEC,26.0,0 days 00:01:36.810000,HARD,15.0,Bahrain Grand Prix
LEC,27.0,0 days 00:01:36.831000,HARD,16.0,Bahrain Grand Prix
LEC,28.0,0 days 00:01:36.907000,HARD,17.0,Bahrain Grand Prix
LEC,29.0,0 days 00:01:36.963000,HARD,18.0,Bahrain Grand Prix
LEC,30.0,0 days 00:01:37.158000,HARD,19.0,Bahrain Grand Prix
LEC,31.0,0 days 00:01:37.031000,HARD,20.0,Bahrain Grand Prix
LEC,32.0,0 days 00:01:36.941000,HARD,21.0,Bahrain Grand Prix
LEC,33.0,0 days 00:01:36.741000,HARD,22.0,Bahrain Grand Prix
LEC,34.0,0 days 00:01:39.614000,HARD,23.0,Bahrain Grand Prix
LEC,36.0,0 days 00:01:34.090000,HARD,2.0,Bahrain Grand Prix
LEC,37.0,0 days 00:01:34.897000,HARD,3.0,Bahrain Grand Prix
LEC,38.0,0 days 00:01:34.783000,HARD,4.0,Bahrain Grand Prix
LEC,39.0,0 days 00:01:35.087000,HARD,5.0,Bahrain Grand Prix
LEC,40.0,0 days 00:01:34.859000,HARD,6.0,Bahrain Grand Prix
LEC,41.0,0 days 00:01:35.028000,HARD,7.0,Bahrain Grand Prix
LEC,42.0,0 days 00:01:34.982000,HARD,8.0,Bahrain Grand Prix
LEC,43.0,0 days 00:01:35.192000,HARD,9.0,Bahrain Grand Prix
LEC,44.0,0 days 00:01:35.051000,HARD,10.0,Bahrain Grand Prix
LEC,45.0,0 days 00:01:35.220000,HARD,11.0,Bahrain Grand Prix
LEC,46.0,0 days 00:01:35.058000,HARD,12.0,Bahrain Grand Prix
LEC,47.0,0 days 00:01:35.057000,HARD,13.0,Bahrain Grand Prix
LEC,48.0,0 days 00:01:35.308000,HARD,14.0,Bahrain Grand Prix
LEC,49.0,0 days 00:01:35.302000,HARD,15.0,Bahrain Grand Prix
LEC,50.0,0 days 00:01:35.383000,HARD,16.0,Bahrain Grand Prix
LEC,51.0,0 days 00:01:35.418000,HARD,17.0,Bahrain Grand Prix
LEC,52.0,0 days 00:01:35.394000,HARD,18.0,Bahrain Grand Prix
LEC,53.0,0 days 00:01:35.480000,HARD,19.0,Bahrain Grand Prix
LEC,54.0,0 days 00:01:35.265000,HARD,20.0,Bahrain Grand Prix
LEC,55.0,0 days 00:01:35.785000,HARD,21.0,Bahrain Grand Prix
LEC,56.0,0 days 00:01:35.924000,HARD,22.0,Bahrain Grand Prix
LEC,57.0,0 days 00:01:36.324000,HARD,23.0,Bahrain Grand Prix
RUS,1.0,0 days 00:01:39.228000,SOFT,4.0,Bahrain Grand Prix
RUS,2.0,0 days 00:01:36.635000,SOFT,5.0,Bahrain Grand Prix
RUS,3.0,0 days 00:01:36.406000,SOFT,6.0,Bahrain Grand Prix
RUS,4.0,0 days 00:01:37.738000,SOFT,7.0,Bahrain Grand Prix
RUS,5.0,0 days 00:01:38.116000,SOFT,8.0,Bahrain Grand Prix
RUS,6.0,0 days 00:01:37.784000,SOFT,9.0,Bahrain Grand Prix
RUS,7.0,0 days 00:01:38.082000,SOFT,10.0,Bahrain Grand Prix
RUS,8.0,0 days 00:01:37.862000,SOFT,11.0,Bahrain Grand Prix
RUS,9.0,0 days 00:01:37.730000,SOFT,12.0,Bahrain Grand Prix
RUS,10.0,0 days 00:01:37.782000,SOFT,13.0,Bahrain Grand Prix
RUS,11.0,0 days 00:01:40.515000,SOFT,14.0,Bahrain Grand Prix
RUS,13.0,0 days 00:01:37.167000,HARD,2.0,Bahrain Grand Prix
RUS,14.0,0 days 00:01:37.571000,HARD,3.0,Bahrain Grand Prix
RUS,15.0,0 days 00:01:36.922000,HARD,4.0,Bahrain Grand Prix
RUS,16.0,0 days 00:01:36.683000,HARD,5.0,Bahrain Grand Prix
RUS,17.0,0 days 00:01:36.234000,HARD,6.0,Bahrain Grand Prix
RUS,18.0,0 days 00:01:37.819000,HARD,7.0,Bahrain Grand Prix
RUS,19.0,0 days 00:01:37.233000,HARD,8.0,Bahrain Grand Prix
RUS,20.0,0 days 00:01:36.732000,HARD,9.0,Bahrain Grand Prix
RUS,21.0,0 days 00:01:36.769000,HARD,10.0,Bahrain Grand Prix
RUS,22.0,0 days 00:01:36.992000,HARD,11.0,Bahrain Grand Prix
RUS,23.0,0 days 00:01:36.954000,HARD,12.0,Bahrain Grand Prix
RUS,24.0,0 days 00:01:36.736000,HARD,13.0,Bahrain Grand Prix
RUS,25.0,0 days 00:01:36.928000,HARD,14.0,Bahrain Grand Prix
RUS,26.0,0 days 00:01:36.801000,HARD,15.0,Bahrain Grand Prix
RUS,27.0,0 days 00:01:36.815000,HARD,16.0,Bahrain Grand Prix
RUS,28.0,0 days 00:01:36.911000,HARD,17.0,Bahrain Grand Prix
RUS,29.0,0 days 00:01:37.066000,HARD,18.0,Bahrain Grand Prix
RUS,30.0,0 days 00:01:37.186000,HARD,19.0,Bahrain Grand Prix
RUS,31.0,0 days 00:01:39.405000,HARD,20.0,Bahrain Grand Prix
RUS,33.0,0 days 00:01:35.838000,HARD,2.0,Bahrain Grand Prix
RUS,34.0,0 days 00:01:35.241000,HARD,3.0,Bahrain Grand Prix
RUS,35.0,0 days 00:01:35.772000,HARD,4.0,Bahrain Grand Prix
RUS,36.0,0 days 00:01:35.434000,HARD,5.0,Bahrain Grand Prix
RUS,37.0,0 days 00:01:35.481000,HARD,6.0,Bahrain Grand Prix
RUS,38.0,0 days 00:01:35.479000,HARD,7.0,Bahrain Grand Prix
RUS,39.0,0 days 00:01:35.204000,HARD,8.0,Bahrain Grand Prix
RUS,40.0,0 days 00:01:35.065000,HARD,9.0,Bahrain Grand Prix
RUS,41.0,0 days 00:01:35.093000,HARD,10.0,Bahrain Grand Prix
RUS,42.0,0 days 00:01:35.136000,HARD,11.0,Bahrain Grand Prix
RUS,43.0,0 days 00:01:35.193000,HARD,12.0,Bahrain Grand Prix
RUS,44.0,0 days 00:01:35.162000,HARD,13.0,Bahrain Grand Prix
RUS,45.0,0 days 00:01:35.276000,HARD,14.0,Bahrain Grand Prix
RUS,46.0,0 days 00:01:36.657000,HARD,15.0,Bahrain Grand Prix
RUS,47.0,0 days 00:01:35.805000,HARD,16.0,Bahrain Grand Prix
RUS,48.0,0 days 00:01:36.059000,HARD,17.0,Bahrain Grand Prix
RUS,49.0,0 days 00:01:35.954000,HARD,18.0,Bahrain Grand Prix
RUS,50.0,0 days 00:01:36.181000,HARD,19.0,Bahrain Grand Prix
RUS,51.0,0 days 00:01:35.852000,HARD,20.0,Bahrain Grand Prix
RUS,52.0,0 days 00:01:36.186000,HARD,21.0,Bahrain Grand Prix
RUS,53.0,0 days 00:01:35.979000,HARD,22.0,Bahrain Grand Prix
RUS,54.0,0 days 00:01:36.013000,HARD,23.0,Bahrain Grand Prix
RUS,55.0,0 days 00:01:36.151000,HARD,24.0,Bahrain Grand Prix
RUS,56.0,0 days 00:01:36.350000,HARD,25.0,Bahrain Grand Prix
RUS,57.0,0 days 00:01:36.440000,HARD,26.0,Bahrain Grand Prix
NOR,1.0,0 days 00:01:42.168000,SOFT,4.0,Bahrain Grand Prix
NOR,2.0,0 days 00:01:38.010000,SOFT,5.0,Bahrain Grand Prix
NOR,3.0,0 days 00:01:37.787000,SOFT,6.0,Bahrain Grand Prix
NOR,4.0,0 days 00:01:37.450000,SOFT,7.0,Bahrain Grand Prix
NOR,5.0,0 days 00:01:37.794000,SOFT,8.0,Bahrain Grand Prix
NOR,6.0,0 days 00:01:37.896000,SOFT,9.0,Bahrain Grand Prix
NOR,7.0,0 days 00:01:37.860000,SOFT,10.0,Bahrain Grand Prix
NOR,8.0,0 days 00:01:38.134000,SOFT,11.0,Bahrain Grand Prix
NOR,9.0,0 days 00:01:38.064000,SOFT,12.0,Bahrain Grand Prix
NOR,10.0,0 days 00:01:37.936000,SOFT,13.0,Bahrain Grand Prix
NOR,11.0,0 days 00:01:38.172000,SOFT,14.0,Bahrain Grand Prix
NOR,12.0,0 days 00:01:38.082000,SOFT,15.0,Bahrain Grand Prix
NOR,13.0,0 days 00:01:40.635000,SOFT,16.0,Bahrain Grand Prix
NOR,15.0,0 days 00:01:36.912000,HARD,2.0,Bahrain Grand Prix
NOR,16.0,0 days 00:01:36.565000,HARD,3.0,Bahrain Grand Prix
NOR,17.0,0 days 00:01:36.776000,HARD,4.0,Bahrain Grand Prix
NOR,18.0,0 days 00:01:36.508000,HARD,5.0,Bahrain Grand Prix
NOR,19.0,0 days 00:01:36.416000,HARD,6.0,Bahrain Grand Prix
NOR,20.0,0 days 00:01:36.501000,HARD,7.0,Bahrain Grand Prix
NOR,21.0,0 days 00:01:36.620000,HARD,8.0,Bahrain Grand Prix
NOR,22.0,0 days 00:01:36.668000,HARD,9.0,Bahrain Grand Prix
NOR,23.0,0 days 00:01:36.696000,HARD,10.0,Bahrain Grand Prix
NOR,24.0,0 days 00:01:36.823000,HARD,11.0,Bahrain Grand Prix
NOR,25.0,0 days 00:01:36.730000,HARD,12.0,Bahrain Grand Prix
NOR,26.0,0 days 00:01:36.566000,HARD,13.0,Bahrain Grand Prix
NOR,27.0,0 days 00:01:36.726000,HARD,14.0,Bahrain Grand Prix
NOR,28.0,0 days 00:01:37.018000,HARD,15.0,Bahrain Grand Prix
NOR,29.0,0 days 00:01:37.041000,HARD,16.0,Bahrain Grand Prix
NOR,30.0,0 days 00:01:36.986000,HARD,17.0,Bahrain Grand Prix
NOR,31.0,0 days 00:01:37.083000,HARD,18.0,Bahrain Grand Prix
NOR,32.0,0 days 00:01:37.171000,HARD,19.0,Bahrain Grand Prix
NOR,33.0,0 days 00:01:39.626000,HARD,20.0,Bahrain Grand Prix
NOR,35.0,0 days 00:01:34.476000,HARD,2.0,Bahrain Grand Prix
NOR,36.0,0 days 00:01:35.690000,HARD,3.0,Bahrain Grand Prix
NOR,37.0,0 days 00:01:35.067000,HARD,4.0,Bahrain Grand Prix
NOR,38.0,0 days 00:01:35.149000,HARD,5.0,Bahrain Grand Prix
NOR,39.0,0 days 00:01:34.880000,HARD,6.0,Bahrain Grand Prix
NOR,40.0,0 days 00:01:35.276000,HARD,7.0,Bahrain Grand Prix
NOR,41.0,0 days 00:01:35.069000,HARD,8.0,Bahrain Grand Prix
NOR,42.0,0 days 00:01:35.165000,HARD,9.0,Bahrain Grand Prix
NOR,43.0,0 days 00:01:35.295000,HARD,10.0,Bahrain Grand Prix
NOR,44.0,0 days 00:01:35.346000,HARD,11.0,Bahrain Grand Prix
NOR,45.0,0 days 00:01:35.338000,HARD,12.0,Bahrain Grand Prix
NOR,46.0,0 days 00:01:35.371000,HARD,13.0,Bahrain Grand Prix
NOR,47.0,0 days 00:01:35.485000,HARD,14.0,Bahrain Grand Prix
NOR,48.0,0 days 00:01:35.717000,HARD,15.0,Bahrain Grand Prix
NOR,49.0,0 days 00:01:35.674000,HARD,16.0,Bahrain Grand Prix
NOR,50.0,0 days 00:01:35.657000,HARD,17.0,Bahrain Grand Prix
NOR,51.0,0 days 00:01:36.038000,HARD,18.0,Bahrain Grand Prix
NOR,52.0,0 days 00:01:35.922000,HARD,19.0,Bahrain Grand Prix
NOR,53.0,0 days 00:01:35.782000,HARD,20.0,Bahrain Grand Prix
NOR,54.0,0 days 00:01:35.934000,HARD,21.0,Bahrain Grand Prix
NOR,55.0,0 days 00:01:36.223000,HARD,22.0,Bahrain Grand Prix
NOR,56.0,0 days 00:01:35.976000,HARD,23.0,Bahrain Grand Prix
NOR,57.0,0 days 00:01:36.582000,HARD,24.0,Bahrain Grand Prix
HAM,1.0,0 days 00:01:43.122000,SOFT,4.0,Bahrain Grand Prix
HAM,2.0,0 days 00:01:38.273000,SOFT,5.0,Bahrain Grand Prix
HAM,3.0,0 days 00:01:38.303000,SOFT,6.0,Bahrain Grand Prix
HAM,4.0,0 days 00:01:38.287000,SOFT,7.0,Bahrain Grand Prix
HAM,5.0,0 days 00:01:38.350000,SOFT,8.0,Bahrain Grand Prix
HAM,6.0,0 days 00:01:38.183000,SOFT,9.0,Bahrain Grand Prix
HAM,7.0,0 days 00:01:37.839000,SOFT,10.0,Bahrain Grand Prix
HAM,8.0,0 days 00:01:38.221000,SOFT,11.0,Bahrain Grand Prix
HAM,9.0,0 days 00:01:38.645000,SOFT,12.0,Bahrain Grand Prix
HAM,10.0,0 days 00:01:38.037000,SOFT,13.0,Bahrain Grand Prix
